ano,distrito,concelho,energia_ativa_kwh,cpes,kwh_por_cpe,Preco_Final,annual_expenditure,concelho_limpo,income,energy_expenditure_ratio,energy_poverty
2022,Braga,Terras de Bouro,14990234.0,5219,2872.242575205978,0.22104739916945426,634.901751033057,terras de bouro,14819.63678928695,4.284192386496441,0
2022,Braga,Vieira do Minho,22520406.0,8529,2640.450932113964,0.22104739916945426,583.6648111783529,vieira do minho,14789.41543840697,3.946503589740406,0
2022,Braga,Vila Nova de Famalicão,220578195.0,55333,3986.3769360056385,0.22104739916945426,881.1782538131444,vila nova de famalicao,18553.66137663928,4.749349661639435,0
2022,Braga,Vila Verde,90271855.0,26968,3347.36928952833,0.22104739916945426,739.9272755099412,vila verde,15840.273504556946,4.67117739663446,0
2022,Braga,Vizela,43262855.0,11065,3909.882964301853,0.22104739916945426,864.2694603158808,vizela,16428.65283885688,5.260744558870461,1
2022,Bragança,Alfândega da Fé,10164542.0,4149,2449.877560858038,0.22104739916945426,541.5390631112757,alfandega da fe,15545.913863807715,3.4834816907871033,0
2022,Bragança,Bragança,86386291.02,29780,2900.8156823371387,0.22104739916945426,641.2177620505903,braganca,20792.079515666315,3.083952048026022,0
2022,Bragança,Carrazeda de Ansiães,13457249.0,5562,2419.498202085581,0.22104739916945426,534.8237848661884,carrazeda de ansiaes,15092.757800569498,3.5435789266161004,0
2022,Bragança,Freixo de Espada À Cinta,8526272.0,3522,2420.8608745031233,0.22104739916945426,535.1250000600061,freixo de espada a cinta,15263.650074319688,3.505878328279594,0
2022,Bragança,Macedo de Cavaleiros,32690480.0,12505,2614.1927229108355,0.22104739916945426,577.860502327154,macedo de cavaleiros,16211.470328454725,3.5645162999982842,0
2022,Bragança,Miranda do douro,19099003.0,6516,2931.0931553100063,0.22104739916945426,647.9105187046662,miranda do douro,17356.378425961393,3.7329822086359448,0
2022,Bragança,Mirandela,52094564.542,17215,3026.114698925356,0.22104739916945426,668.9147837859061,mirandela,17931.70697169413,3.730346390568467,0
2022,Bragança,Mogadouro,21750407.0,8255,2634.8161114476075,0.22104739916945426,582.4192487252685,mogadouro,16329.59292962542,3.5666489130211803,0
2022,Bragança,Torre de Moncorvo,16306717.0,7204,2263.5642698500833,0.22104739916945426,500.3549947032656,torre de moncorvo,15580.244630097093,3.2114707219468572,0
2022,Bragança,Vila Flor,14805055.0,5673,2609.7399964745287,0.22104739916945426,576.8762387291953,vila flor,15514.910939365913,3.718205286409281,0
2022,Bragança,Vimioso,9857557.0,4939,1995.860903016805,0.22104739916945426,441.1798617158631,vimioso,15148.30604129308,2.9124039381911206,0
